risk_rank,unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status,peer_median,peer_count,peer_baseline,cost_deviation_pct,cost_risk,contractor_peer_count,contractor_project_count,contractor_concentration,contractor_risk,similar_project_id,similar_project_name,text_similarity,text_similarity_risk,cost_contribution,contractor_contribution,text_similarity_contribution,risk_score,risk_band,anomaly_score,anomaly_flag,top_risk_signal,risk_explanation,rf_anomaly_probability,rf_anomaly_prediction
755,WS/22265/2025/00669,Kerala,ERNAKULAM,MEERA IYER,School Building Repair,"Repair and renovation of Govt. School building at Gandhi Chowk, ERNAKULAM",557487.24,2025-04-07,2025-08-20,Om Sai Infra Pvt Ltd,New Recommendation,934267.0,9,constituency + work_category,-40.328916680135336,0.0,9,1,0.1111111111111111,11.11111111111111,WS/41897/2024/00819,"Repair and renovation of Govt. School building at Gandhi Chowk, ERNAKULAM",1.0000000000000004,100.0,0.0,3.333333333333333,25.0,28.333333333333332,Low,74.82305358948432,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/41897/2024/00819.,19.116564135595468,0
756,WS/12596/2024/00799,West Bengal,MURSHIDABAD,VIKRAM SINGH RATHORE,School Building Repair,"Repair and renovation of Govt. School building at Subhash Nagar, MURSHIDABAD",991776.16,2024-12-15,2025-09-22,National Builders & Contractors,Sanctioned,1021864.43,9,constituency + work_category,-2.944448315908209,0.0,9,1,0.1111111111111111,11.11111111111111,WS/23970/2023/00043,"Repair and renovation of Govt. School building at Subhash Nagar, MURSHIDABAD",0.9999999999999999,99.99999999999999,0.0,3.333333333333333,24.999999999999996,28.33333333333333,Low,43.68048533872599,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/23970/2023/00043.,41.674566076714484,0
757,WS/76046/2025/00363,Jammu And Kashmir,BARAMULLAH,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Water supply pipeline extension to Station Road area, BARAMULLAH",441705.51,2025-02-17,2025-06-24,Deep Construction Co.,Ongoing,503772.11,9,constituency + work_category,-12.320372400131475,0.0,9,1,0.1111111111111111,11.11111111111111,WS/94498/2025/00384,"Water supply pipeline extension to Station Road area, BARAMULLAH",0.9999999999999999,99.99999999999999,0.0,3.333333333333333,24.999999999999996,28.33333333333333,Low,52.17391304347826,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/94498/2025/00384.,40.5052628437156,0
758,WS/38760/2025/00049,West Bengal,HOWRAH,RAVI SHANKAR PRASAD JI,Water Supply / Handpump,"Water supply pipeline extension to Nehru Path area, HOWRAH",714243.84,2025-06-28,2026-07-01,Ganesh Engineering Works,Sanctioned,714243.84,9,constituency + work_category,0.0,0.0,9,1,0.1111111111111111,11.11111111111111,WS/38905/2024/00246,"Water supply pipeline extension to Nehru Path area, HOWRAH",0.9999999999999998,99.99999999999997,0.0,3.333333333333333,24.999999999999993,28.333333333333325,Low,40.141557128412536,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/38905/2024/00246.,9.300755979271015,0
759,WS/64415/2023/00565,Bihar,AURANGABAD_BR,ABDUL RASHID SHEIKH,Streetlight Installation,"LED streetlight installation along Shanti Nagar road, AURANGABAD_BR",228051.44,2023-06-04,2023-10-03,Bharat Infra Solutions,Ongoing,364011.39,8,constituency + work_category,-37.3504658741585,0.0,8,1,0.125,12.5,WS/38014/2025/00704,"LED streetlight installation along Ram Nagar road, AURANGABAD_BR",0.9829762998844609,98.29762998844609,0.0,3.75,24.574407497111523,28.324407497111523,Low,57.53286147623863,False,Text Similarity,Project description has 0.98 semantic similarity with project WS/38014/2025/00704.,2.567122166299458,0
760,WS/84202/2025/00640,Maharashtra,AURANGABAD_MH,ADHIKARI SOUMENDU,Streetlight Installation,"Installation of streetlights at Kisan Nagar chowk, AURANGABAD_MH",374641.63,2025-02-05,2025-12-01,Bharat Infra Solutions,Sanctioned,374641.63,7,constituency + work_category,0.0,0.0,7,1,0.14285714285714285,14.285714285714285,WS/57124/2025/00233,"Installation of streetlights at Kisan Nagar chowk, KANPUR",0.9612711568939674,96.12711568939673,0.0,4.285714285714286,24.031778922349183,28.317493208063468,Low,2.62891809908999,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/57124/2025/00233.,4.2796921792182925,0
761,WS/78925/2025/00776,Bihar,AURANGABAD_BR,AASHTIKAR PATIL NAGESH BAPURAO,Drainage / Nala,"Covered drain construction from Vivekanand Marg to Bazaar Road, AURANGABAD_BR",701158.42,2025-07-23,2026-04-13,Jai Hind Infrastructure,Ongoing,644435.71,6,constituency + work_category,8.801919123941794,2.9339730413139313,6,1,0.16666666666666666,16.666666666666664,WS/69048/2023/00070,"Covered drain construction from Kisan Nagar to Bazaar Road, ATTINGAL",0.8798644254927769,87.98644254927768,1.3202878685912691,4.999999999999999,21.99661063731942,28.31689850591069,Low,44.69160768452983,False,Text Similarity,Project description has 0.88 semantic similarity with project WS/69048/2023/00070.,4.6307560533057845,0
762,WS/25725/2025/00549,Uttar Pradesh,BADAUN,ABDUL RASHID SHEIKH,Streetlight Installation,"Installation of streetlights at Ram Nagar chowk, BADAUN",445472.48,2025-08-03,2026-01-21,Jai Hind Infrastructure,Completed,445472.48,7,constituency + work_category,0.0,0.0,7,1,0.14285714285714285,14.285714285714285,WS/75035/2025/00300,"Installation of streetlights at Shanti Nagar chowk, BADAUN",0.9606693645931893,96.06693645931892,0.0,4.285714285714286,24.01673411482973,28.302448400544016,Low,2.3255813953488373,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/75035/2025/00300.,4.759490159016272,0
763,WS/64379/2025/00100,Jammu And Kashmir,SRINAGAR,MEERA IYER,Community Hall,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, SRINAGAR",3176215.55,2025-04-30,2026-04-01,Sri Lakshmi Contractors,Ongoing,3117342.315,10,constituency + work_category,1.8885713871304464,0.6295237957101488,10,1,0.1,10.0,WS/28116/2024/00894,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, SRINAGAR",1.0,100.0,0.283285708069567,3.0,25.0,28.283285708069567,Low,46.71385237613751,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/28116/2024/00894.,78.69733466315198,1
764,WS/73766/2023/00558,Kerala,IDUKKI,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, IDUKKI",473073.31,2023-07-19,2024-08-04,Deep Construction Co.,New Recommendation,473073.31,7,constituency + work_category,0.0,0.0,7,1,0.14285714285714285,14.285714285714285,WS/68385/2024/00676,"Water supply pipeline extension to Subhash Nagar area, IDUKKI",0.9598643508700757,95.98643508700758,0.0,4.285714285714286,23.996608771751895,28.28232305746618,Low,2.224469160768453,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/68385/2024/00676.,4.759490159016272,0
765,WS/21300/2025/00269,Kerala,ATTINGAL,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, ATTINGAL",506240.23,2025-12-02,2026-06-02,Shree Balaji Construction Co.,Ongoing,472150.405,8,constituency + work_category,7.220119826011788,2.406706608670596,8,1,0.125,12.5,WS/11424/2025/00901,"Water supply pipeline extension to Subhash Nagar area, AURANGABAD_BR",0.9370155217110661,93.70155217110661,1.0830179739017682,3.75,23.425388042776653,28.25840601667842,Low,9.908998988877654,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/11424/2025/00901.,4.999468173178235,0
766,WS/59807/2023/00223,Maharashtra,AURANGABAD_MH,ADV GOWAAL KAGADA PADAVI,Solar Light Installation,"Solar light installation near Kisan Nagar hanuman mandir, AURANGABAD_MH",186257.42,2023-06-15,2023-09-25,Bharat Infra Solutions,Ongoing,358807.4,9,constituency + work_category,-48.08986102293319,0.0,9,1,0.1111111111111111,11.11111111111111,WS/29119/2025/00825,"Solar light installation near Kisan Nagar hanuman mandir, AURANGABAD_BR",0.9967724172947738,99.67724172947739,0.0,3.333333333333333,24.919310432369347,28.25264376570268,Low,78.46309403437816,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/29119/2025/00825.,5.498159742694251,0
767,WS/55093/2024/00291,Kerala,IDUKKI,RAVI SHANKAR PRASAD JI,Solar Light Installation,"Solar street light at Bazaar Road chowk parisar, IDUKKI",106835.49,2024-04-26,2024-12-25,Metro Civil Works Pvt Ltd,Sanctioned,324384.58,7,constituency + work_category,-67.0651761560306,0.0,7,1,0.14285714285714285,14.285714285714285,WS/41856/2023/00475,"Solar street light at Bazaar Road chowk parisar, KOTTAYAM",0.9586643115705883,95.86643115705883,0.0,4.285714285714286,23.966607789264707,28.25232207497899,Low,59.150657229524775,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/41856/2023/00475.,4.96863044512589,0
768,WS/86568/2024/00386,Maharashtra,PUNE,ABHAY KUMAR SINHA,Drainage / Nala,"Covered drain construction from Shanti Nagar to Bazaar Road, PUNE",586007.34,2024-07-05,2025-02-18,Jai Hind Infrastructure,New Recommendation,715620.8999999999,6,constituency + work_category,-18.112042283840502,0.0,6,1,0.16666666666666666,16.666666666666664,WS/28030/2024/00133,"Covered drain construction from Shanti Nagar to Ram Nagar, PUNE",0.9292328541166996,92.92328541166997,0.0,4.999999999999999,23.23082135291749,28.23082135291749,Low,12.032355915065724,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/28030/2024/00133.,4.706694380353387,0
769,WS/62354/2023/00413,Uttar Pradesh,LUCKNOW,ABDUL RASHID SHEIKH,Community Hall,"Multipurpose community centre building at Vivekanand Marg panchayat, LUCKNOW",2098141.56,2023-04-01,2023-08-19,Om Sai Infra Pvt Ltd,New Recommendation,2098141.56,7,constituency + work_category,0.0,0.0,7,1,0.14285714285714285,14.285714285714285,WS/25842/2023/00712,"Multipurpose community centre building at Vivekanand Marg panchayat, IDUKKI",0.9574583988735241,95.74583988735242,0.0,4.285714285714286,23.936459971838104,28.22217425755239,Low,1.6177957532861478,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/25842/2023/00712.,4.861198233550434,0
770,WS/84603/2023/00899,West Bengal,MURSHIDABAD,AASHTIKAR PATIL NAGESH BAPURAO,Drainage / Nala,"Construction of drainage/nala near Subhash Nagar area, MURSHIDABAD",628719.8,2023-06-20,2023-12-22,Om Sai Infra Pvt Ltd,Completed,628719.8,7,constituency + work_category,0.0,0.0,7,1,0.14285714285714285,14.285714285714285,WS/23137/2023/00884,"Construction of drainage/nala near Kisan Nagar area, MURSHIDABAD",0.9571912176449215,95.71912176449216,0.0,4.285714285714286,23.92978044112304,28.215494726837324,Low,1.5166835187057632,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/23137/2023/00884.,4.861198233550434,0
771,WS/28156/2024/00715,West Bengal,HOWRAH,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"LED streetlight installation along Station Road road, HOWRAH",353568.49,2024-03-11,2024-11-19,Metro Civil Works Pvt Ltd,Ongoing,427198.58,5,constituency + work_category,-17.23556524930397,0.0,5,1,0.2,20.0,WS/59326/2025/00395,"LED streetlight installation along Gandhi Chowk road, HOWRAH",0.8880890921390558,88.80890921390558,0.0,6.0,22.202227303476395,28.202227303476395,Low,57.43174924165824,False,Text Similarity,Project description has 0.89 semantic similarity with project WS/59326/2025/00395.,4.2879473840447435,0
772,WS/34116/2025/00383,Jammu And Kashmir,JAMMU,RAJESH KUMAR SHARMA,Drainage / Nala,"Covered drain construction from Gandhi Chowk to Bazaar Road, JAMMU",671389.05,2025-01-21,2025-12-09,National Builders & Contractors,Ongoing,837027.615,6,constituency + work_category,-19.788900871568014,0.0,6,1,0.16666666666666666,16.666666666666664,WS/18675/2025/00008,"Covered drain construction from Gandhi Chowk to Bazaar Road, KOTTAYAM",0.9278042286921937,92.78042286921936,0.0,4.999999999999999,23.19510571730484,28.19510571730484,Low,13.549039433771487,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/18675/2025/00008.,4.269330068687399,0
773,WS/50173/2023/00150,West Bengal,MURSHIDABAD,RAVI SHANKAR PRASAD JI,Community Hall,"Multipurpose community centre building at Ambedkar Colony panchayat, MURSHIDABAD",2303028.57,2023-06-21,2024-02-03,Progressive Engineers & Contractors,New Recommendation,2411628.79,7,constituency + work_category,-4.50318973012427,0.0,7,1,0.14285714285714285,14.285714285714285,WS/86434/2024/00194,"Multipurpose community centre building at Ambedkar Colony panchayat, LUCKNOW",0.9561193507502614,95.61193507502614,0.0,4.285714285714286,23.902983768756535,28.18869805447082,Low,2.730030333670374,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/86434/2024/00194.,3.8571679775681793,0
774,WS/25765/2024/00312,Maharashtra,NAGPUR,ABDUL RASHID SHEIKH,Streetlight Installation,"Installation of streetlights at Ambedkar Colony chowk, NAGPUR",407048.97,2024-09-11,2025-08-29,Progressive Engineers & Contractors,Ongoing,408970.885,30,state + work_category,-0.46993932098614727,0.0,30,5,0.16666666666666666,16.666666666666664,WS/20480/2023/00458,"Installation of streetlights at Ambedkar Colony chowk, PUNE",0.9271062845132338,92.71062845132339,0.0,4.999999999999999,23.177657112830847,28.177657112830847,Low,2.4266936299292214,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/20480/2023/00458.,4.7669590416688274,0
775,WS/12727/2024/00690,West Bengal,TAMLUK,VIKRAM SINGH RATHORE,Streetlight Installation,"Installation of streetlights at Shanti Nagar chowk, TAMLUK",572534.01,2024-03-21,2025-01-04,Deep Construction Co.,Sanctioned,474252.15,17,state + work_category,20.723545481027337,6.907848493675779,17,1,0.058823529411764705,5.88235294117647,WS/31249/2025/00496,"Installation of streetlights at Shanti Nagar chowk, LUCKNOW",0.9318132398590102,93.18132398590102,3.1085318221541005,1.764705882352941,23.295330996475254,28.168568700982295,Low,49.646107178968656,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/31249/2025/00496.,8.207130761327146,0
776,WS/54595/2024/00822,Kerala,ERNAKULAM,ADV ADOOR PRAKASH,Drainage / Nala,"Construction of drainage/nala near Kisan Nagar area, ERNAKULAM",533184.55,2024-01-23,2024-05-06,Om Sai Infra Pvt Ltd,Completed,690293.3200000001,26,state + work_category,-22.759711770063195,0.0,26,4,0.15384615384615385,15.384615384615385,WS/49515/2025/00872,"Construction of drainage/nala near Kisan Nagar area, AURANGABAD_MH",0.94173939650305,94.173939650305,0.0,4.615384615384615,23.54348491257625,28.158869527960867,Low,10.616784630940344,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/49515/2025/00872.,4.7331488728398785,0
777,WS/82856/2024/00203,West Bengal,KANTHI,ADV DEAN KURIAKOSE,Road Construction,"Widening and strengthening of road near Ambedkar Colony village, KANTHI",1746420.8,2024-11-26,2025-04-24,Progressive Engineers & Contractors,Sanctioned,1526581.795,10,constituency + work_category,14.400735402455139,4.800245134151713,10,1,0.1,10.0,WS/62436/2023/00842,"Widening and strengthening of road near Ambedkar Colony village, AURANGABAD_BR",0.9193781526455185,91.93781526455184,2.160110310368271,3.0,22.98445381613796,28.144564126506232,Low,39.838220424671384,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/62436/2023/00842.,6.233028960897652,0
778,WS/31596/2023/00588,Jammu And Kashmir,SRINAGAR,ABHAY KUMAR SINHA,Road Construction,"CC road construction at Nehru Path ward, SRINAGAR",1464160.25,2023-10-01,2024-04-25,Om Sai Infra Pvt Ltd,Completed,1864190.97,7,constituency + work_category,-21.458677058177145,0.0,7,1,0.14285714285714285,14.285714285714285,WS/96556/2025/00478,"CC road construction at Nehru Path ward, JAMMU",0.9543315118196722,95.43315118196722,0.0,4.285714285714286,23.858287795491805,28.14400208120609,Low,11.830131445904954,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/96556/2025/00478.,3.9294945158389916,0
779,WS/73809/2025/00985,Kerala,IDUKKI,ANITA JOSHI,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, IDUKKI",3059487.83,2025-02-09,2025-02-10,Bharat Infra Solutions,Completed,3059487.83,7,constituency + work_category,0.0,0.0,7,1,0.14285714285714285,14.285714285714285,WS/26090/2024/00623,"Multipurpose community centre building at Gandhi Chowk panchayat, IDUKKI",0.9542247739042782,95.42247739042782,0.0,4.285714285714286,23.855619347606954,28.14133363332124,Low,0.8088978766430739,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/26090/2024/00623.,4.590073493921756,0
780,WS/73699/2025/00014,Maharashtra,PUNE,ADV GOWAAL KAGADA PADAVI,Drainage / Nala,"Construction of drainage/nala near Ram Nagar area, PUNE",352132.65,2025-09-16,2026-09-01,Om Sai Infra Pvt Ltd,Completed,715620.8999999999,6,constituency + work_category,-50.79340891245629,0.0,6,1,0.16666666666666666,16.666666666666664,WS/25644/2025/00605,"Construction of drainage/nala near Nehru Path area, PUNE",0.9252648681578467,92.52648681578466,0.0,4.999999999999999,23.131621703946166,28.131621703946166,Low,47.72497472194136,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/25644/2025/00605.,4.029910884012191,0
781,WS/62509/2025/00556,Maharashtra,NAGPUR,VIKRAM SINGH RATHORE,Road Construction,"CC road construction at Andouli ward, NAGPUR",1764314.61,2025-11-13,2026-07-14,New India Construction Co.,New Recommendation,1608217.0,8,constituency + work_category,9.706252949695228,3.2354176498984097,8,1,0.125,12.5,WS/31178/2025/00030,"CC road construction at Kisan Nagar ward, NAGPUR",0.916976725154153,91.69767251541529,1.4559379424542844,3.75,22.924418128853823,28.130356071308107,Low,26.99696663296259,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/31178/2025/00030.,6.4688813171747555,0
782,WS/38199/2024/00168,West Bengal,KANTHI,VIKRAM SINGH RATHORE,Road Construction,Construction of concrete road from Bazaar Road to Vivekanand Marg in KANTHI,953083.46,2024-05-07,2025-03-21,Metro Civil Works Pvt Ltd,Ongoing,1526581.795,10,constituency + work_category,-37.56748160356517,0.0,10,2,0.2,20.0,WS/98117/2025/00074,Construction of concrete road from Nehru Path to Bazaar Road in KANTHI,0.8851244856387193,88.51244856387193,0.0,6.0,22.128112140967982,28.128112140967982,Low,74.92416582406472,False,Text Similarity,Project description has 0.89 semantic similarity with project WS/98117/2025/00074.,4.045816555300643,0
783,WS/19681/2025/00090,West Bengal,KANTHI,MEERA IYER,Community Hall,"Multipurpose community centre building at Ambedkar Colony panchayat, KANTHI",3167101.79,2025-10-07,2026-08-01,Bharat Infra Solutions,Ongoing,2569205.535,24,state + work_category,23.271639689971316,7.757213229990438,24,1,0.041666666666666664,4.166666666666666,WS/95979/2025/00181,"Multipurpose community centre building at Nehru Path panchayat, KANTHI",0.9349270495966449,93.49270495966448,3.4907459534956975,1.2499999999999998,23.37317623991612,28.113922193411817,Low,55.91506572295247,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/95979/2025/00181.,6.127717534939722,0
784,WS/16256/2025/00706,Uttar Pradesh,BADAUN,ABDUL RASHID SHEIKH,Solar Light Installation,"Solar street light at Panchayat Bhavan Marg chowk parisar, BADAUN",230542.6,2025-01-02,2025-11-17,New India Construction Co.,Completed,280651.87,22,state + work_category,-17.85460043433881,0.0,22,3,0.13636363636363635,13.636363636363635,WS/99300/2023/00671,"Solar street light at Panchayat Bhavan Marg chowk parisar, TAMLUK",0.9601244627479679,96.01244627479679,0.0,4.09090909090909,24.003111568699197,28.094020659608287,Low,14.155712841253793,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/99300/2023/00671.,4.050905762928088,0
785,WS/41278/2025/00585,Bihar,AURANGABAD_BR,RAVI SHANKAR PRASAD JI,Water Supply / Handpump,"Water supply pipeline extension to Station Road area, AURANGABAD_BR",246904.14,2025-03-27,2025-09-07,National Builders & Contractors,New Recommendation,589581.39,9,constituency + work_category,-58.12212797286562,0.0,9,1,0.1111111111111111,11.11111111111111,WS/46261/2024/00516,"Water supply pipeline extension to Station Road area, AURANGABAD_MH",0.989976358527139,98.9976358527139,0.0,3.333333333333333,24.749408963178475,28.082742296511807,Low,80.99089989888778,False,Text Similarity,Project description has 0.99 semantic similarity with project WS/46261/2024/00516.,5.004705643491448,0
786,WS/56590/2023/00680,Maharashtra,AURANGABAD_MH,ABHIJIT GANGOPADHYAY,Streetlight Installation,"Installation of streetlights at Nehru Path chowk, AURANGABAD_MH",341211.08,2023-07-06,2024-04-28,Progressive Engineers & Contractors,New Recommendation,374641.63,7,constituency + work_category,-8.923340953860356,0.0,7,1,0.14285714285714285,14.285714285714285,WS/85197/2024/00419,"Installation of streetlights at Nehru Path chowk, KOTTAYAM",0.9517787151970273,95.17787151970273,0.0,4.285714285714286,23.794467879925683,28.080182165639968,Low,3.1344792719919106,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/85197/2024/00419.,4.5605738593077145,0
787,WS/82733/2025/00244,Jammu And Kashmir,JAMMU,PRIYA VERMA,School Building Repair,"Construction of additional classroom at Shanti Nagar school, JAMMU",660055.18,2025-01-10,2025-12-11,Deep Construction Co.,Ongoing,1324833.8900000001,14,state + work_category,-50.178268763942924,0.0,14,2,0.14285714285714285,14.285714285714285,WS/10235/2025/00299,"Construction of additional classroom at Kisan Nagar school, JAMMU",0.9515759731617404,95.15759731617403,0.0,4.285714285714286,23.78939932904351,28.075113614757793,Low,36.905965621840245,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/10235/2025/00299.,6.0495096530586,0
788,WS/53399/2023/00500,Maharashtra,NANDURBAR(ST),ABU TAHER KHAN,Road Construction,Construction of concrete road from Ram Nagar to Andouli in NANDURBAR(ST),1910570.69,2023-05-08,2023-09-19,Shree Balaji Construction Co.,New Recommendation,1587568.025,26,state + work_category,20.345752743413943,6.781917581137982,26,3,0.11538461538461539,11.538461538461538,WS/36171/2024/00307,Construction of concrete road from Ram Nagar to Andouli in HOWRAH,0.8615598374763643,86.15598374763643,3.051862911512092,3.4615384615384612,21.538995936909107,28.05239730995966,Low,81.29423660262893,False,Text Similarity,Project description has 0.86 semantic similarity with project WS/36171/2024/00307.,4.802729376242629,0
789,WS/79603/2025/00336,West Bengal,HOWRAH,AASHTIKAR PATIL NAGESH BAPURAO,Road Construction,"CC road construction at Gandhi Chowk ward, HOWRAH",1707430.42,2025-04-18,2025-12-25,Shree Balaji Construction Co.,New Recommendation,1703447.29,10,constituency + work_category,0.23382760496216398,0.077942534987388,10,1,0.1,10.0,WS/93914/2025/00918,"CC road construction at Gandhi Chowk ward, HOWRAH",1.0000000000000004,100.0,0.0350741407443246,3.0,25.0,28.035074140744324,Low,44.893832153690596,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/93914/2025/00918.,18.98852314299519,0
790,WS/16259/2023/00784,Jammu And Kashmir,SRINAGAR,RAJESH KUMAR SHARMA,Drainage / Nala,"Construction of drainage/nala near Panchayat Bhavan Marg area, SRINAGAR",495005.19,2023-05-06,2024-04-02,Ganesh Engineering Works,Sanctioned,641075.81,7,constituency + work_category,-22.785233465602147,0.0,7,1,0.14285714285714285,14.285714285714285,WS/43767/2024/00820,"Construction of drainage/nala near Panchayat Bhavan Marg area, NAGPUR",0.949665944663348,94.9665944663348,0.0,4.285714285714286,23.7416486165837,28.027362902297984,Low,9.504550050556118,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/43767/2024/00820.,4.951326656841214,0
791,WS/60434/2023/00620,West Bengal,KANTHI,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"LED streetlight installation along Nehru Path road, KANTHI",474961.46,2023-06-24,2024-02-06,Metro Civil Works Pvt Ltd,Completed,516926.645,6,constituency + work_category,-8.118208919178464,0.0,6,1,0.16666666666666666,16.666666666666664,WS/58434/2025/00027,"LED streetlight installation along Nehru Path road, AURANGABAD_MH",0.92103692685049,92.103692685049,0.0,4.999999999999999,23.02592317126225,28.02592317126225,Low,9.605662285136502,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/58434/2025/00027.,4.835094275636259,0
792,WS/67438/2023/00302,Jammu And Kashmir,JAMMU,ABHAY KUMAR SINHA,Community Hall,"Construction of community hall at Kisan Nagar, JAMMU",2141644.85,2023-07-20,2023-09-18,Shree Balaji Construction Co.,Sanctioned,2897305.18,7,constituency + work_category,-26.081488937247542,0.0,7,1,0.14285714285714285,14.285714285714285,WS/80206/2025/00206,"Construction of community hall at Kisan Nagar, SRINAGAR",0.9489664254719692,94.89664254719692,0.0,4.285714285714286,23.72416063679923,28.009874922513514,Low,11.729019211324571,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/80206/2025/00206.,4.596803969563558,0
793,WS/27677/2024/00471,Kerala,ATTINGAL,RAVI SHANKAR PRASAD JI,School Building Repair,"Repair and renovation of Govt. School building at Ambedkar Colony, ATTINGAL",767581.17,2024-05-13,2025-03-25,Sri Lakshmi Contractors,Ongoing,977273.97,7,constituency + work_category,-21.45691038921255,0.0,7,1,0.14285714285714285,14.285714285714285,WS/19643/2025/00947,"Repair and renovation of Govt. School building at Ambedkar Colony, AURANGABAD_MH",0.9488632040160846,94.88632040160846,0.0,4.285714285714286,23.721580100402115,28.0072943861164,Low,7.987866531850354,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/19643/2025/00947.,4.223407904550727,0
794,WS/62530/2025/00348,Bihar,PATNA_SAHIB,ADV DEAN KURIAKOSE,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, PATNA_SAHIB",265065.92,2025-07-13,2026-03-05,National Builders & Contractors,Completed,593823.735,18,state + work_category,-55.36286201156982,0.0,18,3,0.16666666666666666,16.666666666666664,WS/70931/2025/00058,"Water supply pipeline extension to Subhash Nagar area, SRINAGAR",0.9202541769871179,92.02541769871179,0.0,4.999999999999999,23.006354424677948,28.006354424677948,Low,55.61172901921132,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/70931/2025/00058.,4.291470439792642,0
795,WS/99740/2025/00583,West Bengal,KANTHI,ANITA JOSHI,Road Construction,"Widening and strengthening of road near Ram Nagar village, KANTHI",1304202.97,2025-05-10,2025-11-24,Deep Construction Co.,Ongoing,1526581.795,10,constituency + work_category,-14.567108407053942,0.0,10,1,0.1,10.0,WS/15014/2023/00036,"Widening and strengthening of road near Ram Nagar village, KANTHI",1.0000000000000002,100.0,0.0,3.0,25.0,28.0,Low,58.341759352881695,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/15014/2023/00036.,17.114076220370222,0
796,WS/69925/2024/00423,Uttar Pradesh,KANPUR,VIKRAM SINGH RATHORE,Streetlight Installation,"LED streetlight installation along Ram Nagar road, KANPUR",164653.19,2024-03-21,2024-12-07,Progressive Engineers & Contractors,Ongoing,383496.405,10,constituency + work_category,-57.065258538733886,0.0,10,1,0.1,10.0,WS/86986/2025/00266,"LED streetlight installation along Ram Nagar road, KANPUR",1.0000000000000002,100.0,0.0,3.0,25.0,28.0,Low,85.54095045500506,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/86986/2025/00266.,19.9070799252079,0
797,WS/40968/2025/00124,Uttar Pradesh,BADAUN,ANITA JOSHI,Streetlight Installation,"LED streetlight installation along Ram Nagar road, BADAUN",237256.67,2025-06-03,2026-01-27,New India Construction Co.,Ongoing,445472.48,7,constituency + work_category,-46.74044286641455,0.0,7,1,0.14285714285714285,14.285714285714285,WS/69925/2024/00423,"LED streetlight installation along Ram Nagar road, KANPUR",0.9479902587372828,94.79902587372828,0.0,4.285714285714286,23.69975646843207,27.985470754146355,Low,31.749241658240646,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/69925/2024/00423.,3.948265008524597,0
