unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status
WS/68341/2025/00156,Uttar Pradesh,VARANASI,VIKRAM SINGH RATHORE,Drainage / Nala,"Covered drain construction from Ram Nagar to Panchayat Bhavan Marg, VARANASI",410373.68,21-08-2025,26-11-2025,Metro Civil Works Pvt Ltd,Ongoing
WS/69513/2023/00672,Bihar,GAYA,ABHIJIT GANGOPADHYAY,Solar Light Installation,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, GAYA",213238.42,30-04-2023,09-08-2023,Metro Civil Works Pvt Ltd,Sanctioned
WS/37168/2024/00179,Uttar Pradesh,KANPUR,ADITYA YADAV,Drainage / Nala,"Covered drain construction from Kisan Nagar to Kisan Nagar, KANPUR",551105.76,31-01-2024,24-07-2024,Bharat Infra Solutions,New Recommendation
WS/82529/2023/00065,Bihar,AURANGABAD_BR,ADV GOWAAL KAGADA PADAVI,Road Construction,Construction of concrete road from Nehru Path to Kisan Nagar in AURANGABAD_BR,2003631.43,08-08-2023,24-02-2024,Shree Balaji Construction Co.,Completed
WS/52647/2024/00526,Jammu And Kashmir,JAMMU,ABHAY KUMAR SINHA,Water Supply / Handpump,"Water supply pipeline extension to Station Road area, JAMMU",851604.28,08-11-2024,13-09-2025,Om Sai Infra Pvt Ltd,Sanctioned
WS/38752/2024/00400,Uttar Pradesh,BADAUN,ADV GOWAAL KAGADA PADAVI,Road Construction,Construction of concrete road from Subhash Nagar to Bazaar Road in BADAUN,1168208.81,12-12-2024,09-10-2025,Metro Civil Works Pvt Ltd,Ongoing
WS/14630/2025/00538,West Bengal,HOWRAH,ADV K FRANCIS GEORGE,School Building Repair,"Construction of additional classroom at Kisan Nagar school, HOWRAH",894080.36,27-12-2025,25-07-2026,Bharat Infra Solutions,Ongoing
WS/73461/2024/00724,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Community Hall,"Construction of community hall at Andouli, HOWRAH",1651579.94,19-07-2024,27-06-2025,Sri Lakshmi Contractors,Completed
WS/24019/2024/00358,Uttar Pradesh,VARANASI,ABHIJIT GANGOPADHYAY,Road Construction,Construction of concrete road from Nehru Path to Bazaar Road in VARANASI,2324691.1,17-08-2024,26-12-2024,Deep Construction Co.,Sanctioned
WS/84055/2023/00216,Uttar Pradesh,VARANASI,RAJESH KUMAR SHARMA,Community Hall,"Construction of community hall at Gandhi Chowk, VARANASI",3487340.83,20-06-2023,26-02-2024,Sri Lakshmi Contractors,Sanctioned
WS/67105/2023/00963,Uttar Pradesh,BADAUN,AASHTIKAR PATIL NAGESH BAPURAO,Community Hall,"Construction of community hall at Shanti Nagar, TAMLUK",343050.81,11-04-2023,20-08-2023,Om Sai Infra Pvt Ltd,New Recommendation
WS/54579/2024/00513,Jammu And Kashmir,BARAMULLAH,MEERA IYER,Streetlight Installation,"LED streetlight installation along Ambedkar Colony road, BARAMULLAH",161220.65,07-08-2024,19-06-2025,National Builders & Contractors,Ongoing
WS/65212/2024/00959,Bihar,PATNA_SAHIB,ADITYA YADAV,Drainage / Nala,"Covered drain construction from Station Road to Station Road, NAGPUR",344693.77,18-08-2024,29-06-2025,Shree Balaji Construction Co.,New Recommendation
WS/84991/2025/00163,Uttar Pradesh,BADAUN,AASHTIKAR PATIL NAGESH BAPURAO,Road Construction,"CC road construction at Subhash Nagar ward, BADAUN",877285.07,16-01-2025,06-01-2026,Bharat Infra Solutions,Ongoing
WS/16175/2023/00010,Kerala,ERNAKULAM,PRIYA VERMA,Community Hall,"Construction of community hall at Ram Nagar, ERNAKULAM",2048301.9,20-08-2023,05-07-2024,Metro Civil Works Pvt Ltd,Completed
WS/29441/2024/00284,Jammu And Kashmir,JAMMU,ADV GOWAAL KAGADA PADAVI,Solar Light Installation,"Solar light installation near Ram Nagar hanuman mandir, JAMMU",346646.68,08-12-2024,26-02-2025,Ganesh Engineering Works,New Recommendation
WS/54062/2024/00470,West Bengal,HOWRAH,ANITA JOSHI,Road Construction,"CC road construction at Ram Nagar ward, HOWRAH",1177545.57,22-01-2024,09-10-2024,National Builders & Contractors,Ongoing
WS/13148/2023/00741,Jammu And Kashmir,SRINAGAR,ADV GOWAAL KAGADA PADAVI,Road Construction,"Widening and strengthening of road near Bazaar Road village, SRINAGAR",1864190.97,09-07-2023,21-09-2023,Metro Civil Works Pvt Ltd,Sanctioned
WS/74662/2024/00962,Maharashtra,AURANGABAD_MH,ADV K FRANCIS GEORGE,Community Hall,"Construction of community hall at Shanti Nagar, TAMLUK",1257248.91,07-05-2024,05-12-2024,Deep Construction Co.,Sanctioned
WS/34551/2024/00143,Kerala,IDUKKI,ABU TAHER KHAN,Community Hall,"Construction of community hall at Panchayat Bhavan Marg, IDUKKI",2573097.23,20-12-2024,17-08-2025,Ganesh Engineering Works,Sanctioned
WS/65363/2024/00364,Kerala,ATTINGAL,RAJESH KUMAR SHARMA,Streetlight Installation,"Installation of streetlights at Andouli chowk, ATTINGAL",366166.47,05-11-2024,05-08-2025,Progressive Engineers & Contractors,New Recommendation
WS/70901/2025/00044,Kerala,ERNAKULAM,ABDUL RASHID SHEIKH,Streetlight Installation,"LED streetlight installation along Panchayat Bhavan Marg road, ERNAKULAM",262139.23,16-08-2025,16-12-2025,Metro Civil Works Pvt Ltd,Ongoing
WS/15737/2023/00456,Uttar Pradesh,VARANASI,ADV K FRANCIS GEORGE,School Building Repair,"Repair and renovation of Govt. School building at Shanti Nagar, VARANASI",1297265.5,23-07-2023,09-11-2023,United Rural Builders,Completed
WS/23114/2024/00635,Uttar Pradesh,BADAUN,ADV K FRANCIS GEORGE,School Building Repair,"Repair and renovation of Govt. School building at Kisan Nagar, BADAUN",1198494.96,25-02-2024,12-02-2025,Om Sai Infra Pvt Ltd,Sanctioned
WS/16380/2025/00673,Bihar,AURANGABAD_BR,MEERA IYER,Community Hall,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, AURANGABAD_BR",3868545.99,21-04-2025,07-04-2026,National Builders & Contractors,Ongoing
WS/16975/2024/00667,Bihar,GAYA,VIKRAM SINGH RATHORE,Solar Light Installation,"Solar light installation near Gandhi Chowk hanuman mandir, GAYA",432517.74,21-10-2024,21-11-2025,Progressive Engineers & Contractors,Sanctioned
WS/71457/2025/00661,Uttar Pradesh,KANPUR,ADV ADOOR PRAKASH,Community Hall,"Multipurpose community centre building at Shanti Nagar panchayat, KANPUR",2957257.69,22-01-2025,12-11-2025,Om Sai Infra Pvt Ltd,Completed
WS/46585/2024/00035,Bihar,AURANGABAD_BR,ADV ADOOR PRAKASH,Road Construction,"CC road construction at Vivekanand Marg ward, AURANGABAD_BR",1922056.41,13-05-2024,27-12-2024,Bharat Infra Solutions,Completed
WS/85066/2025/00311,Uttar Pradesh,BADAUN,PRIYA VERMA,Solar Light Installation,"Solar street light at Gandhi Chowk chowk parisar, BADAUN",282903.8,14-12-2025,13-11-2026,Progressive Engineers & Contractors,Sanctioned
WS/53920/2023/00937,Kerala,KOTTAYAM,SANJAY DESHMUKH,Road Construction,"Widening and strengthening of road near Shanti Nagar village, KOTTAYAM",826401.11,05-09-2023,13-05-2024,Ganesh Engineering Works,New Recommendation
WS/75612/2024/00012,Kerala,KOTTAYAM,ABHIJIT GANGOPADHYAY,Community Hall,"Construction of community hall at Shanti Nagar, KOTTAYAM",2586913.13,08-07-2024,07-09-2024,Deep Construction Co.,New Recommendation
WS/31802/2025/00399,Uttar Pradesh,LUCKNOW,ABU TAHER KHAN,Water Supply / Handpump,"Water supply pipeline extension to Nehru Path area, LUCKNOW",558849.97,29-09-2025,17-09-2026,National Builders & Contractors,Completed
WS/42483/2023/00578,Jammu And Kashmir,JAMMU,VIKRAM SINGH RATHORE,Solar Light Installation,"Solar light installation near Vivekanand Marg hanuman mandir, JAMMU",261967.02,15-04-2023,19-01-2024,Deep Construction Co.,Ongoing
WS/73886/2025/00858,West Bengal,HOWRAH,ADITYA YADAV,Road Construction,"CC road construction at Andouli ward, HOWRAH",1699464.16,07-10-2025,22-02-2026,Sri Lakshmi Contractors,Completed
WS/30079/2024/00469,Maharashtra,PUNE,ANITA JOSHI,Road Construction,"CC road construction at Andouli ward, PUNE",1342838.12,30-10-2024,15-03-2025,New India Construction Co.,Ongoing
WS/55093/2024/00291,Kerala,IDUKKI,RAVI SHANKAR PRASAD JI,Solar Light Installation,"Solar street light at Bazaar Road chowk parisar, IDUKKI",106835.49,26-04-2024,25-12-2024,Metro Civil Works Pvt Ltd,Sanctioned
WS/57826/2024/00951,Maharashtra,AURANGABAD_MH,ABU TAHER KHAN,Streetlight Installation,"Installation of streetlights at Ram Nagar chowk, AURANGABAD_MH",160367.18,06-09-2024,22-01-2025,Shree Balaji Construction Co.,Ongoing
WS/89635/2025/00152,Kerala,ERNAKULAM,RAJESH KUMAR SHARMA,Streetlight Installation,"Installation of streetlights at Panchayat Bhavan Marg chowk, ERNAKULAM",510493.19,24-02-2025,15-07-2025,Shree Balaji Construction Co.,Ongoing
WS/52624/2023/00436,West Bengal,MURSHIDABAD,ABU TAHER KHAN,Streetlight Installation,"LED streetlight installation along Ambedkar Colony road, MURSHIDABAD",527333.0,30-04-2023,16-07-2023,Progressive Engineers & Contractors,New Recommendation
WS/83498/2025/00987,Maharashtra,PUNE,ABU TAHER KHAN,Community Hall,"Multipurpose community centre building at Shanti Nagar panchayat, PUNE",3696805.24,13-06-2025,15-06-2025,Progressive Engineers & Contractors,Completed
WS/36712/2023/00476,Maharashtra,PUNE,ABHIJIT GANGOPADHYAY,Community Hall,"Multipurpose community centre building at Station Road panchayat, PUNE",2625153.93,24-04-2023,09-12-2023,Ganesh Engineering Works,Ongoing
WS/11111/2023/00906,Maharashtra,AURANGABAD_MH,ABDUL RASHID SHEIKH,Solar Light Installation,"Solar street light at Vivekanand Marg chowk parisar, AURANGABAD_MH",1052914.34,20-05-2023,27-12-2023,Om Sai Infra Pvt Ltd,New Recommendation
WS/28156/2024/00715,West Bengal,HOWRAH,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"LED streetlight installation along Station Road road, HOWRAH",353568.49,11-03-2024,19-11-2024,Metro Civil Works Pvt Ltd,Ongoing
WS/67658/2024/00396,Bihar,PATNA_SAHIB,VIKRAM SINGH RATHORE,Solar Light Installation,"Solar light installation near Shanti Nagar hanuman mandir, PATNA_SAHIB",268738.53,09-12-2024,10-02-2025,United Rural Builders,Ongoing
WS/28700/2025/00848,West Bengal,MURSHIDABAD,ADV DEAN KURIAKOSE,Road Construction,"CC road construction at Subhash Nagar ward, MURSHIDABAD",1967319.19,31-03-2025,17-08-2025,Progressive Engineers & Contractors,Ongoing
WS/30369/2023/00282,Kerala,KOTTAYAM,ADV K FRANCIS GEORGE,School Building Repair,"Construction of additional classroom at Ram Nagar school, KOTTAYAM",780738.22,16-06-2023,26-11-2023,National Builders & Contractors,Completed
WS/11246/2023/00812,Maharashtra,PUNE,ABHAY KUMAR SINHA,Community Hall,"Construction of community hall at Andouli, PUNE",1574166.63,27-11-2023,26-09-2024,Metro Civil Works Pvt Ltd,Completed
WS/14965/2023/00377,Kerala,ERNAKULAM,ABHAY KUMAR SINHA,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, ERNAKULAM",680230.48,25-04-2023,14-02-2024,Deep Construction Co.,New Recommendation
WS/35369/2024/00505,Uttar Pradesh,KANPUR,VIKRAM SINGH RATHORE,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, KANPUR",162967.53,15-12-2024,12-06-2025,Deep Construction Co.,New Recommendation
WS/60039/2025/00603,West Bengal,MURSHIDABAD,RAVI SHANKAR PRASAD JI,School Building Repair,"Construction of additional classroom at Nehru Path school, MURSHIDABAD",1394345.81,13-05-2025,20-09-2025,Ganesh Engineering Works,Ongoing
WS/86858/2023/00103,Maharashtra,PUNE,ADV ADOOR PRAKASH,Drainage / Nala,"Covered drain construction from Gandhi Chowk to Gandhi Chowk, PUNE",1008280.29,28-10-2023,31-01-2024,United Rural Builders,Ongoing
WS/49669/2024/00684,Kerala,ERNAKULAM,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"Installation of streetlights at Ram Nagar chowk, ERNAKULAM",515909.62,22-12-2024,23-08-2025,Deep Construction Co.,Sanctioned
WS/59602/2025/00814,Bihar,PATNA_SAHIB,ADV K FRANCIS GEORGE,Community Hall,"Multipurpose community centre building at Bazaar Road panchayat, PATNA_SAHIB",3542117.98,19-11-2025,21-07-2026,Progressive Engineers & Contractors,Sanctioned
WS/86810/2024/00297,Uttar Pradesh,LUCKNOW,ABHIJIT GANGOPADHYAY,Solar Light Installation,"Solar street light at Ram Nagar chowk parisar, LUCKNOW",284203.21,08-04-2024,14-07-2024,New India Construction Co.,Sanctioned
WS/65372/2025/00492,Jammu And Kashmir,SRINAGAR,MEERA IYER,School Building Repair,"Repair and renovation of Govt. School building at Nehru Path, SRINAGAR",1638156.61,01-06-2025,24-12-2025,Metro Civil Works Pvt Ltd,Ongoing
WS/28024/2023/00488,Jammu And Kashmir,JAMMU,VIKRAM SINGH RATHORE,Water Supply / Handpump,"Installation of handpump at Shanti Nagar village, JAMMU",654697.99,06-10-2023,20-06-2024,Metro Civil Works Pvt Ltd,Sanctioned
WS/77009/2025/00864,West Bengal,HOWRAH,ADV GOWAAL KAGADA PADAVI,Community Hall,"Multipurpose community centre building at Shanti Nagar panchayat, HOWRAH",2714823.11,19-05-2025,22-02-2026,Ganesh Engineering Works,Ongoing
WS/96266/2025/00839,Maharashtra,HINGOLI,ABHIJIT GANGOPADHYAY,Streetlight Installation,"LED streetlight installation along Andouli road, HINGOLI",284360.07,15-12-2025,18-11-2026,National Builders & Contractors,Sanctioned
WS/84972/2023/00717,Uttar Pradesh,BADAUN,MEERA IYER,Water Supply / Handpump,"Water supply pipeline extension to Panchayat Bhavan Marg area, BADAUN",394162.57,30-06-2023,21-11-2023,Deep Construction Co.,Completed
WS/86177/2025/00760,Bihar,GAYA,RAJESH KUMAR SHARMA,Streetlight Installation,"Installation of streetlights at Subhash Nagar chowk, GAYA",462529.35,02-04-2025,09-02-2026,Metro Civil Works Pvt Ltd,New Recommendation
WS/89233/2023/00890,Maharashtra,PUNE,RAJESH KUMAR SHARMA,Road Construction,"Widening and strengthening of road near Shanti Nagar village, PUNE",1846684.51,31-07-2023,31-03-2024,Om Sai Infra Pvt Ltd,Completed
WS/16731/2025/00175,West Bengal,KANTHI,AASHTIKAR PATIL NAGESH BAPURAO,Streetlight Installation,"Installation of streetlights at Bazaar Road chowk, KANTHI",363565.6,16-12-2025,15-01-2027,Jai Hind Infrastructure,Ongoing
WS/85066/2024/00247,Jammu And Kashmir,JAMMU,ADV GOWAAL KAGADA PADAVI,Drainage / Nala,"Covered drain construction from Ram Nagar to Nehru Path, JAMMU",1002666.18,31-10-2024,09-09-2025,United Rural Builders,Completed
WS/20831/2024/00834,Kerala,ERNAKULAM,ADV DEAN KURIAKOSE,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, ERNAKULAM",657236.83,11-04-2024,15-06-2024,Om Sai Infra Pvt Ltd,Completed
WS/45785/2024/00763,Uttar Pradesh,VARANASI,SANJAY DESHMUKH,School Building Repair,"Repair and renovation of Govt. School building at Subhash Nagar, VARANASI",1054571.38,23-05-2024,26-01-2025,Metro Civil Works Pvt Ltd,New Recommendation
WS/92802/2023/00146,Maharashtra,PUNE,RAVI SHANKAR PRASAD JI,Community Hall,"Construction of community hall at Shanti Nagar, PUNE",3533772.16,27-09-2023,20-07-2024,Deep Construction Co.,Sanctioned
WS/95679/2025/00190,Jammu And Kashmir,SRINAGAR,ADV DEAN KURIAKOSE,Community Hall,"Construction of community hall at Vivekanand Marg, SRINAGAR",2254864.6,10-04-2025,29-03-2026,Shree Balaji Construction Co.,New Recommendation
WS/17492/2024/00023,Jammu And Kashmir,BARAMULLAH,ADV GOWAAL KAGADA PADAVI,Drainage / Nala,"Covered drain construction from Andouli to Bazaar Road, BARAMULLAH",1171838.43,14-11-2024,17-10-2025,Shree Balaji Construction Co.,New Recommendation
WS/23159/2025/00652,Maharashtra,NAGPUR,VIKRAM SINGH RATHORE,Water Supply / Handpump,"Water supply pipeline extension to Shanti Nagar area, NAGPUR",489072.92,09-08-2025,27-03-2026,Deep Construction Co.,Sanctioned
WS/50173/2023/00150,West Bengal,MURSHIDABAD,RAVI SHANKAR PRASAD JI,Community Hall,"Multipurpose community centre building at Ambedkar Colony panchayat, MURSHIDABAD",2303028.57,21-06-2023,03-02-2024,Progressive Engineers & Contractors,New Recommendation
WS/46977/2024/00443,Jammu And Kashmir,SRINAGAR,AASHTIKAR PATIL NAGESH BAPURAO,Drainage / Nala,"Covered drain construction from Nehru Path to Shanti Nagar, SRINAGAR",344668.87,29-09-2024,09-12-2024,National Builders & Contractors,Completed
WS/94497/2023/00127,Uttar Pradesh,BADAUN,ADV GOWAAL KAGADA PADAVI,School Building Repair,"Construction of additional classroom at Ram Nagar school, BADAUN",1032679.41,29-05-2023,01-02-2024,Bharat Infra Solutions,Completed
WS/22759/2023/00632,Jammu And Kashmir,SRINAGAR,RAJESH KUMAR SHARMA,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, SRINAGAR",359720.0,28-04-2023,12-05-2024,New India Construction Co.,Sanctioned
WS/62286/2024/00674,Maharashtra,HINGOLI,RAVI SHANKAR PRASAD JI,Streetlight Installation,"Installation of streetlights at Ram Nagar chowk, HINGOLI",321625.92,13-05-2024,19-11-2024,National Builders & Contractors,Ongoing
WS/91937/2023/00450,Kerala,IDUKKI,RAJESH KUMAR SHARMA,Solar Light Installation,"Solar street light at Andouli chowk parisar, IDUKKI",131317.97,09-09-2023,20-07-2024,Om Sai Infra Pvt Ltd,New Recommendation
WS/10863/2023/00698,Jammu And Kashmir,JAMMU,RAJESH KUMAR SHARMA,Community Hall,"Multipurpose community centre building at Gandhi Chowk panchayat, JAMMU",3547901.96,04-08-2023,14-01-2024,Metro Civil Works Pvt Ltd,Sanctioned
WS/59327/2023/00628,Uttar Pradesh,BADAUN,ABDUL RASHID SHEIKH,School Building Repair,"Repair and renovation of Govt. School building at Ambedkar Colony, BADAUN",1632175.94,31-07-2023,12-04-2024,Metro Civil Works Pvt Ltd,New Recommendation
WS/65518/2024/00267,Jammu And Kashmir,BARAMULLAH,ABDUL RASHID SHEIKH,Solar Light Installation,"Solar light installation near Kisan Nagar hanuman mandir, BARAMULLAH",239291.26,19-01-2024,03-02-2025,Deep Construction Co.,Sanctioned
WS/17347/2025/00560,Bihar,PATNA_SAHIB,RAVI SHANKAR PRASAD JI,Solar Light Installation,"Solar light installation near Vivekanand Marg hanuman mandir, PATNA_SAHIB",384122.33,15-12-2025,21-02-2026,Shree Balaji Construction Co.,New Recommendation
WS/97910/2023/00241,Uttar Pradesh,BADAUN,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Covered drain construction from Ambedkar Colony to Station Road, BADAUN",629213.73,19-10-2023,08-08-2024,Om Sai Infra Pvt Ltd,New Recommendation
WS/78506/2023/00840,Maharashtra,AURANGABAD_MH,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Installation of handpump at Vivekanand Marg village, AURANGABAD_MH",573871.68,22-08-2023,11-08-2024,Metro Civil Works Pvt Ltd,New Recommendation
WS/42512/2023/00189,West Bengal,KANTHI,ABHAY KUMAR SINHA,School Building Repair,"Construction of additional classroom at Andouli school, KANTHI",1336958.19,07-10-2023,15-02-2024,Metro Civil Works Pvt Ltd,New Recommendation
WS/31249/2025/00496,Uttar Pradesh,LUCKNOW,PRIYA VERMA,Streetlight Installation,"Installation of streetlights at Shanti Nagar chowk, LUCKNOW",321273.15,26-05-2025,20-10-2025,New India Construction Co.,Ongoing
WS/63363/2024/00415,Bihar,AURANGABAD_BR,ADITYA YADAV,School Building Repair,"Repair and renovation of Govt. School building at Station Road, AURANGABAD_BR",1701599.38,09-11-2024,10-01-2025,Bharat Infra Solutions,Ongoing
WS/74106/2023/00308,Jammu And Kashmir,JAMMU,ADV GOWAAL KAGADA PADAVI,Road Construction,Construction of concrete road from Panchayat Bhavan Marg to Nehru Path in JAMMU,1605070.11,28-07-2023,01-03-2024,Sri Lakshmi Contractors,Sanctioned
WS/28116/2024/00894,Jammu And Kashmir,SRINAGAR,RAJESH KUMAR SHARMA,Community Hall,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, SRINAGAR",2735516.19,05-08-2024,03-05-2025,Jai Hind Infrastructure,New Recommendation
WS/29975/2024/00910,Bihar,GAYA,SANJAY DESHMUKH,Water Supply / Handpump,"Water supply pipeline extension to Bazaar Road area, GAYA",1929022.43,01-05-2024,30-10-2024,Ganesh Engineering Works,Completed
WS/40122/2025/00401,Uttar Pradesh,LUCKNOW,ANITA JOSHI,Community Hall,"Construction of community hall at Subhash Nagar, LUCKNOW",1919304.25,03-03-2025,24-10-2025,Metro Civil Works Pvt Ltd,Completed
WS/78690/2025/00455,Uttar Pradesh,LUCKNOW,ADV K FRANCIS GEORGE,Water Supply / Handpump,"Installation of handpump at Panchayat Bhavan Marg village, LUCKNOW",244339.23,16-12-2025,16-11-2026,Sri Lakshmi Contractors,Ongoing
WS/80854/2023/00518,Bihar,AURANGABAD_BR,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"Installation of streetlights at Ambedkar Colony chowk, AURANGABAD_BR",260171.28,12-06-2023,17-01-2024,Jai Hind Infrastructure,New Recommendation
WS/11220/2024/00026,Jammu And Kashmir,SRINAGAR,PRIYA VERMA,Drainage / Nala,"Construction of drainage/nala near Ambedkar Colony area, SRINAGAR",904521.2,02-02-2024,22-11-2024,New India Construction Co.,Completed
WS/29917/2025/00486,West Bengal,HOWRAH,ADV GOWAAL KAGADA PADAVI,School Building Repair,"Repair and renovation of Govt. School building at Gandhi Chowk, HOWRAH",1443853.62,20-07-2025,10-08-2026,Deep Construction Co.,New Recommendation
WS/99928/2023/00107,Kerala,KOTTAYAM,MEERA IYER,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, KOTTAYAM",874818.33,02-06-2023,02-04-2024,Sri Lakshmi Contractors,Sanctioned
WS/27324/2023/00885,Kerala,ATTINGAL,ABHIJIT GANGOPADHYAY,School Building Repair,"Construction of additional classroom at Gandhi Chowk school, ATTINGAL",937586.77,22-07-2023,26-09-2023,Progressive Engineers & Contractors,Completed
WS/18300/2025/00254,Uttar Pradesh,BADAUN,ABHAY KUMAR SINHA,Water Supply / Handpump,"Installation of handpump at Station Road village, BADAUN",880505.2,10-01-2025,14-02-2026,Deep Construction Co.,New Recommendation
WS/72575/2024/00903,Uttar Pradesh,BADAUN,ADV ADOOR PRAKASH,Solar Light Installation,"Solar street light at Vivekanand Marg chowk parisar, BADAUN",1256885.47,24-10-2024,28-10-2025,Om Sai Infra Pvt Ltd,Sanctioned
WS/27796/2025/00533,Jammu And Kashmir,BARAMULLAH,ABHAY KUMAR SINHA,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, BARAMULLAH",210995.46,08-04-2025,11-02-2026,Progressive Engineers & Contractors,Sanctioned
WS/40968/2025/00124,Uttar Pradesh,BADAUN,ANITA JOSHI,Streetlight Installation,"LED streetlight installation along Ram Nagar road, BADAUN",237256.67,03-06-2025,27-01-2026,New India Construction Co.,Ongoing
WS/71066/2024/00619,Bihar,PATNA_SAHIB,SANJAY DESHMUKH,Drainage / Nala,"Construction of drainage/nala near Ram Nagar area, PATNA_SAHIB",762825.9,22-05-2024,16-09-2024,New India Construction Co.,Completed
WS/57381/2025/00157,Kerala,KOTTAYAM,ABHAY KUMAR SINHA,Streetlight Installation,"Installation of streetlights at Station Road chowk, KOTTAYAM",393977.11,29-09-2025,30-04-2026,National Builders & Contractors,Ongoing
WS/98696/2023/00001,Kerala,ATTINGAL,AASHTIKAR PATIL NAGESH BAPURAO,Water Supply / Handpump,"Installation of handpump at Kisan Nagar village, ATTINGAL",392520.52,15-11-2023,25-03-2024,Deep Construction Co.,Completed
WS/37235/2023/00069,Bihar,GAYA,SANJAY DESHMUKH,Community Hall,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, GAYA",2921573.68,01-06-2023,07-06-2024,Deep Construction Co.,Completed
WS/24534/2024/00118,West Bengal,HOWRAH,SANJAY DESHMUKH,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, HOWRAH",2038922.41,06-09-2024,02-01-2025,New India Construction Co.,Sanctioned
WS/80206/2025/00206,Jammu And Kashmir,SRINAGAR,ADITYA YADAV,Community Hall,"Construction of community hall at Kisan Nagar, SRINAGAR",3116764.63,31-10-2025,17-08-2026,New India Construction Co.,Completed
WS/41632/2025/00705,Uttar Pradesh,VARANASI,ADHIKARI SOUMENDU,Road Construction,"Widening and strengthening of road near Nehru Path village, VARANASI",847415.08,24-06-2025,26-05-2026,Jai Hind Infrastructure,New Recommendation
WS/91915/2023/00639,Uttar Pradesh,VARANASI,SANJAY DESHMUKH,Water Supply / Handpump,"Installation of handpump at Station Road village, VARANASI",577963.31,22-10-2023,20-07-2024,Sri Lakshmi Contractors,New Recommendation
WS/25408/2024/00497,West Bengal,KANTHI,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Installation of handpump at Shanti Nagar village, KANTHI",738041.3,30-06-2024,23-01-2025,Progressive Engineers & Contractors,Ongoing
WS/29119/2025/00825,Bihar,AURANGABAD_BR,ADV GOWAAL KAGADA PADAVI,Solar Light Installation,"Solar light installation near Kisan Nagar hanuman mandir, AURANGABAD_BR",176616.48,25-02-2025,15-12-2025,National Builders & Contractors,New Recommendation
WS/43039/2023/00920,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Road Construction,Construction of concrete road from Panchayat Bhavan Marg to Shanti Nagar in HOWRAH,1159537.91,24-04-2023,25-01-2024,Om Sai Infra Pvt Ltd,New Recommendation
WS/98832/2024/00737,Jammu And Kashmir,SRINAGAR,ADV ADOOR PRAKASH,Streetlight Installation,"LED streetlight installation along Station Road road, SRINAGAR",478004.49,06-01-2024,12-06-2024,Progressive Engineers & Contractors,Completed
WS/77537/2024/00319,Jammu And Kashmir,SRINAGAR,ADITYA YADAV,Solar Light Installation,"Solar street light at Shanti Nagar chowk parisar, SRINAGAR",242509.63,09-08-2024,29-06-2025,New India Construction Co.,Completed
WS/42441/2024/00978,Jammu And Kashmir,JAMMU,AASHTIKAR PATIL NAGESH BAPURAO,Water Supply / Handpump,"Installation of handpump at Bazaar Road village, GAYA",308464.64,29-07-2024,22-07-2025,Shree Balaji Construction Co.,Sanctioned
WS/24442/2025/00984,Maharashtra,NAGPUR,MEERA IYER,Streetlight Installation,"Installation of streetlights at Andouli chowk, NAGPUR",585668.87,20-06-2025,24-06-2025,Bharat Infra Solutions,Completed
WS/26426/2024/00159,Maharashtra,PUNE,PRIYA VERMA,Water Supply / Handpump,"Installation of handpump at Vivekanand Marg village, PUNE",703208.76,20-09-2024,17-06-2025,Sri Lakshmi Contractors,Completed
WS/57973/2024/00873,Uttar Pradesh,LUCKNOW,ABDUL RASHID SHEIKH,Drainage / Nala,"Construction of drainage/nala near Ambedkar Colony area, LUCKNOW",472536.05,15-10-2024,22-04-2025,United Rural Builders,New Recommendation
WS/61576/2023/00656,Bihar,AURANGABAD_BR,ADV K FRANCIS GEORGE,Solar Light Installation,"Solar light installation near Subhash Nagar hanuman mandir, AURANGABAD_BR",198629.07,26-06-2023,24-03-2024,New India Construction Co.,Ongoing
WS/21297/2023/00692,West Bengal,KANTHI,VIKRAM SINGH RATHORE,Solar Light Installation,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, KANTHI",439829.57,13-09-2023,25-09-2024,Ganesh Engineering Works,New Recommendation
